id;form_id;type;sub_type;description
1;quantify;compress Junctions;open-source withdrawal;withdrawal
2;enable;online;Dynamic neural driver;mint
3;Books;regional;Communications;Iowa Implementation invoice
4;(Bouvetoya) Table;systemic Platinum;Bedfordshire;lavender Junction
5;Carolina;Bedfordshire Rupee;group e-enable Account;Account Soft
6;software dynamic Florida;override Directives;Up-sized Suriname Designer;synthesizing Rhode user-centric
7;mesh Forward networks;Antarctica COM;encoding;Shirt Shoes
8;deposit;Baby International integrate;Trail Accountability Operations;up Avon matrix
9;Solutions;Metal payment Cuban;firewall Yemen Berkshire;Sports optical Soap
10;Administrator;PNG;Card Dynamic matrix;San
